DateTime	T2	WS10	WD10	RH
26/01/14_00:00	-9.13	1.66	231.03	97.48
26/01/14_00:30	-13.33	23.31	298.76	100.46
26/01/14_01:00	-13.73	25.54	299.88	100.47
26/01/14_01:30	-14.47	24.58	317.42	100.51
26/01/14_02:00	-14.77	28.26	315.69	100.50
26/01/14_02:30	-15.43	31.35	316.87	100.52
26/01/14_03:00	-16.30	32.84	315.41	100.56
26/01/14_03:30	-16.78	33.61	314.65	100.59
26/01/14_04:00	-17.05	33.87	316.39	100.60
26/01/14_04:30	-17.40	33.18	317.17	100.63
26/01/14_05:00	-17.80	32.06	317.29	100.66
26/01/14_05:30	-18.20	30.69	317.46	100.70
26/01/14_06:00	-18.61	29.41	317.18	100.73
