DateTime	T2	WS10	WD10	RH
26/01/14_00:00	-9.13	1.66	231.03	97.48
26/01/14_00:30	-13.50	24.11	299.87	100.48
26/01/14_01:00	-14.13	28.03	305.57	100.46
26/01/14_01:30	-14.73	30.80	306.90	100.49
26/01/14_02:00	-15.36	32.37	309.16	100.52
26/01/14_02:30	-15.74	36.90	312.04	100.51
26/01/14_03:00	-16.32	38.12	316.34	100.54
26/01/14_03:30	-16.78	41.42	310.61	100.54
26/01/14_04:00	-17.59	38.04	315.60	100.61
26/01/14_04:30	-17.10	37.59	318.63	100.58
26/01/14_05:00	-18.30	38.68	316.51	100.66
26/01/14_05:30	-18.47	38.74	314.14	100.66
26/01/14_06:00	-19.37	36.37	310.41	100.75
